Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Original),Inward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Approval History),Custom field (Build Manager),Custom field (Build Manager Responded),Custom field (Build Manager Response),Custom field (Completion Criteria),Custom field (Configuration Notes),Custom field (Cyber Reviewer KB Comment),Custom field (Cyber Reviewer Responded),Custom field (Cyber Reviewer Response),Custom field (Deadline),Custom field (Dependency Needed From),Custom field (Dependency Owed To),Custom field (Developer),Custom field (Document Number),Custom field (Driver Response),Custom field (ECD),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Epic Workflow Status),Custom field (Flagged),Custom field (GitLab URL IP Address),Custom field (Hardware Reviewer KB Comment),Custom field (Hardware Reviewer Responded),Custom field (Hardware Reviewer Response),Custom field (Issue Use),Custom field (JQL Query),Custom field (Kickback Count),Custom field (Kickback Message),Custom field (Last Comment),Custom field (MR ID),Custom field (Milestone Entrance Criteria),Custom field (My Last Comment),Custom field (Network Reviewer),Custom field (Network Reviewer KB Comment),Custom field (Network Reviewer Responded),Custom field (Network Reviewer Response),Custom field (Original Need Date),Custom field (Original story points),Custom field (PTR ID),Custom field (Parent Link),Custom field (Peer Reviewer),Custom field (Peer Reviewer 2),Custom field (Peer Reviewer 3),Custom field (Peer Reviewer 3 Alloc (SP)),Custom field (Peer Reviewer 4),Custom field (Peer Reviewer 4 Alloc (SP)),Custom field (Peer Reviewer 5),Custom field (Project Engineer KB Comment),Custom field (Project Engineer Responded),Custom field (Project Engineer Response),Custom field (Project Lead KB Comment),Custom field (Project Lead Responded),Custom field (Project Lead Response),Custom field (Rank),Custom field (Reviewer 1 KB Comment),Custom field (Reviewer 1 Responded),Custom field (Reviewer 1 Response),Custom field (Reviewer 2 KB Comment),Custom field (Reviewer 2 Responded),Custom field (Reviewer 2 Response),Custom field (Reviewer 3 KB Comment),Custom field (Reviewer 3 Responded),Custom field (Reviewer 3 Response),Custom field (Reviewer 4 KB Comment),Custom field (Reviewer 4 Responded),Custom field (Reviewer 4 Response),Custom field (Reviewer 5 KB Comment),Custom field (Reviewer 5 Responded),Custom field (Reviewer 5 Response),Custom field (Risk),Custom field (Safety Reviewer KB Comment),Custom field (Safety Reviewer Responded),Custom field (Safety Reviewer Response),Custom field (Software Reviewer KB Comment),Custom field (Software Reviewer Responded),Custom field (Software Reviewer Response),Sprint,Custom field (Sr. Peer Reviewer),Custom field (Sr. Peer Reviewer KB Comment),Custom field (Sr. Peer Reviewer Response),Custom field (Sr. Reviewer Responded),Custom field (Story Points),Custom field (Systems Reviewer KB Comment),Custom field (Systems Reviewer Responded),Custom field (Systems Reviewer Response),Custom field (Target Progress),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Reviewer KB Comment),Custom field (Test Reviewer Responded),Custom field (Test Reviewer Response),Custom field (Test Setup),Custom field (Time Spent By User),Custom field (Time Spent Total (hrs)),Custom field (Total Time Estimated (hrs)),Custom field (UUT),Custom field (Visual Verifier Response),Custom field (co-Assignee),Custom field (co-Developer),Custom field (ΣBurnup (%)),Custom field (ΣDone SPs),Custom field (ΣIn Progress SPs),Custom field (ΣOrigEst (Hrs)),Custom field (ΣOriginal SPs),Custom field (ΣPercent Complete (%)),Custom field (ΣPercent Complete (%) (Hrs)),Custom field (ΣPlanned SPs),Custom field (ΣRemaining SPs),Custom field (ΣTime Estimate (Hrs)),Custom field (ΣTime Remaining (Hrs)),Custom field (ΣTime Spent (Hrs)),Comment,Comment,Comment,Comment
sxc Test Create Epic,SSWGUI-357,105370,Epic,Cancelled,SSWGUI,SSWGUI,software,kbassi,,,Lowest,Won't Do,scodd,scodd,scodd,02/Jul/26 12:47 PM,18/Jul/26 3:06 PM,18/Sep/26 3:22 PM,18/Jul/26 3:06 PM,,,,,,,,,,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,scodd,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scodd,,,,ghx-label-11,,sxc Test Create Epic,Done,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0a3ek:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Cross-Segment Conops workflow Rapid prototype rev 2,SSWGUI-355,105361,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,02/Jul/26 10:13 AM,10/Sep/26 3:29 PM,18/Sep/26 3:22 PM,,,,,,,,,,Experimental,,,,0,"{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Cross-Segment Conops workflow Rapid prototype rev 2,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0a3d0:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
[BUG] Common Component Library fails to be imported ,SSWGUI-350,104004,Task,Done,SSWGUI,SSWGUI,software,kbassi,,,Medium,Done,kbassi,kbassi,kbassi,23/Jun/26 12:48 PM,18/Jul/26 1:15 PM,24/Aug/26 9:30 AM,18/Jul/26 1:15 PM,,,,,,,,,Common,,,,0,"After implementing the common component library, it seems that people trying to do playwright and storybook stuff are unable to. There seems to be issues with the usage in the estap gui repo. 

There appear to be issues using the StatusIndicator from the common component library. Attempting to use in LLMotorState in ESTAPGUI. This is a storybook issue:  !image-2026-06-23-12-55-00-636.png|width=779,height=225!

 

Separately, seems like TrayAnimationArea is also having a problem, but not sure what common component it is using:

!image-2026-06-23-12-55-58-747.png|width=821,height=271!",,kbassi,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"23/Jun/26 12:55 PM;schatter;image-2026-06-23-12-55-00-636.png;https://192.168.3.34/jira1/secure/attachment/20920/image-2026-06-23-12-55-00-636.png","23/Jun/26 12:55 PM;schatter;image-2026-06-23-12-55-58-747.png;https://192.168.3.34/jira1/secure/attachment/20921/image-2026-06-23-12-55-58-747.png",,,,,,,,,,,,,,,,,,kbassi,,,,,,,,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09wvo:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
[BUG] Fix SSE for Demo GUI,SSWGUI-324,102282,Task,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,kbassi,kbassi,kbassi,27/May/26 10:49 AM,10/Sep/26 5:00 PM,24/Aug/26 9:27 AM,,,,,,,,,,Experimental,,,,0,,,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,make sse work properly,,,,,,,,kbassi,,,,,,,,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09nqk:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Test Demo in PaaS,SSWGUI-323,102281,Task,Cancelled,SSWGUI,SSWGUI,software,kbassi,,,Medium,Won't Do,schatter,schatter,schatter,27/May/26 10:30 AM,27/May/26 1:36 PM,18/Sep/26 3:22 PM,27/May/26 11:20 AM,,,,,,,,,,,,,0,"Run Demo GUI in the PaaS and make changes to cookbook, prod.yaml, and other things as necessary",,kbassi,schatter,,,";27/May/26 11:20 AM;schatter;28800",,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWGUI-69,,,Done,,,,,,Sprint,,,,"Posted on: Wed May 27 13:36:38 EDT 2026
Cancelled because demo will no longer be held in LM. We can run it on our own setup",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09nqc:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"27/May/26 1:36 PM;kbassi;Cancelled because demo will no longer be held in LM. We can run it on our own setup;;;",,,
OBE,SSWGUI-322,102212,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,schatter,schatter,22/May/26 10:16 AM,22/May/26 10:20 AM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,"Follow plan defined in SSWGUI-321, and implement. Merge the feature branch into development once acceptance tests are shown to be passing.",,schatter,,,,,,,,,0,,,,0,,,SSWGUI-321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWSW-11550,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09nck:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
OBE,SSWGUI-321,102211,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,schatter,schatter,22/May/26 10:15 AM,22/May/26 10:19 AM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,Create an acceptance test plan for the common overrides component(s). Follow the template for Acceptance tests in Confluence.,,schatter,,,,,,,,,0,,,,0,,,,,,,,,,,SSWGUI-322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWSW-11500,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09ncc:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
OBE,SSWGUI-320,102210,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,schatter,schatter,22/May/26 10:14 AM,22/May/26 10:21 AM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,We need to derive GUI SRS requirements. Use the SSS to derive requirements related to overrides and add to the SRS document (this may just be a page in confluence),,schatter,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWSW-11500,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09nc4:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Create job for SDD generation,SSWGUI-316,102122,Task,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,21/May/26 11:23 AM,06/Jul/26 2:41 PM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,,,,,0,assumes that we have the gitlab vm back. Talk to Matt to find out,,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWGUI-240,,,In Progress,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09mv8:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,27/Nov/26 12:00 AM,14/Nov/26 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Implement artifact stage ,SSWGUI-315,102121,Task,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,21/May/26 11:22 AM,10/Sep/26 5:05 PM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,,,,,0,"* Using SBOM Container image
 * use existing fragment
 * Omega-Doors Report
 * Release Notes ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWGUI-240,,,In Progress,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09mv0:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,5.0,,,,0%,03/Oct/26 12:00 AM,20/Sep/26 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Create 3D Catenary Display,SSWGUI-311,101745,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,14/May/26 1:41 PM,10/Sep/26 3:54 PM,18/Sep/26 3:22 PM,,PI 19,,,,,,,,Experimental,,,,0,"As an operator of the SSW GUI,

I would like to visualize the ROV catenary in a rendered 3D animation on the MAM page/screen of the the SSW GUI,

so I can have supported situational awareness of the the predictive real-time state of the ROV catenary in the water column.

{*}+Description+{*}:
 * This story involves creating a standalone front-end component that will render the real-time 3D representation of the state of the ROV catenary. 
 ** The resulting component will be incorporated into the MAM page

{+}*Acceptance Criteria*{+}:

GIVEN I have the MAM screen open on the ROV workstation,

WHEN there is a change in the position of the deployed ROV,

THEN I will see a change in the 3D visualization of of the ROV catenary.

{+}*UI/UX Notes*{+}:
 * library for creating the 3D render needs to be determined in this story or preceding task/spike under this story's Epic
 ** determine whether there is a separate application with rendering created by another EB team that already exists for catenary
 ** if only receiving data for the catenary, investigate different solutions for the 3D render (i.e., evaluate libraries like three.js) 

{+}*Technical Notes*{+}:
 * Testing this component will require that we have a reliable mock application or library for providing data for updating the 3D animation
 ** If this is a separate application and not a model provided via library, we will need a network interface for receiving data 
 * We do not know what the received data will look like, but we should anticipate that some non-trivial mathematics will be involved to create an accurate  3D rendering of the ROV catenary",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWGUI-73,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09lcg:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,17/Sep/28 12:00 AM,09/Aug/28 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Implement the application,SSWGUI-310,101744,Task,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,14/May/26 1:40 PM,10/Sep/26 3:54 PM,18/Sep/26 3:22 PM,,PI 19,,,,,,,,Experimental,,,,0,"Determine best approach for running the model alongside the GUI backend.

If the model is provided by library API, then it might be feasible to have invocation of the API's functions in the the GUI backend. If it is delivered in the form of an executable, then we may need an application wrapper that exposes a network interface.",,kbassi,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Implement the backend application to interacts with the model. 
Demonstrate that the model runs correctly.",,,,,,,,,,,,,SSWGUI-73,,,To Do,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09lc8:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,09/Aug/28 12:00 AM,10/Jul/28 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Integrate with Model ,SSWGUI-309,101743,Task,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,14/May/26 1:39 PM,10/Sep/26 3:54 PM,18/Sep/26 3:22 PM,,PI 19,,,,,,,,Experimental,,,,0,"Reached out to Richard Laukaitis and Matthew Kyle D'Agnostino to get a hold of model and details (talk to Kamleen)

Integrate with the backend of GUI such that data crucial to the 3D render of ROV catenary is being exposed and continually received for as long as the model is running. This will require a good understanding of the received data's format and representation. Implement a reliable means for caching/storing data (a non-persistent file-based DB is fine in the scope of the prototype GUI) and sharing it with the GUI frontend. ",,kbassi,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Integrate with the backend of GUI such that data crucial to the 3D render of ROV catenary is being exposed and continually received for as long as the model is running.
Implement a reliable means for caching/storing data and sharing it with the GUI frontend. ",,,,,,,,,,,,,SSWGUI-73,,,To Do,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09lc0:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,09/Aug/28 12:00 AM,26/Jul/28 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Do an informal Design of the 3D Catenary Display MVP ,SSWGUI-308,101742,Task,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,14/May/26 1:37 PM,18/Jul/26 3:38 PM,18/Sep/26 3:22 PM,,PI 19,,,,,,,,Experimental,,,,0,"Following SSWGUI-239, produce an informal MVP design that incorporates the various software pieces that will need to be acquired, implemented, and or integrated to support the implementation of the 3D Catenary Display.

With this being an MVP, it is okay for there to be some lingering open-questions that will not answered until after implementation begins; however, a general understanding of the software pieces and how it is anticipated they will need to implemented and interface with each other is expected. 

capture a long term vision for the Catenary Display

Define what the MVP would include and exclude 

Think about the overall design for this GUI",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Produce an informal design for the 3D Catenary Display MVP 
Have the design reviewed by leads ",,,,,,,,,,,,,SSWGUI-73,,,To Do,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09lbs:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,07/Jul/28 12:00 AM,03/Jul/28 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
OBE,SSWGUI-285,101698,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,schatter,schatter,14/May/26 9:47 AM,08/Jun/26 10:32 AM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,"Use common component elements created in SSWGUI-275

Create a UI design for the ESTAP page based on CONOPS that will be used for overrides and get approval from systems",,schatter,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09l3k:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Monitor Screen,SSWGUI-260,101646,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,13/May/26 1:48 PM,10/Sep/26 3:44 PM,18/Sep/26 3:22 PM,,,,ESTAP GUI 1.0.0-rc,FST,,,,,EST,,,,0,"As an operator,

I need to be able to have operational awareness of the Tray in Automatic Mode via monitor mode,

so I can be informed of the status of the system during operations.

{*}+Description+{*}:
 *  The operator shall have awareness of the Tray in Automatic mode via monitor mode on the display. Add all modifications from prior tasking to the monitor screen. 

{+}*Acceptance Criteria*{+}:

GIVEN the operator is in Automatic Mode for the Tray,

WHEN the operator is in ,

THEN the operator will be able to monitor the Tray with the display.

{+}*UI/UX Notes*{+}:
 *  Ensure the layout of the buttons match the current specification

{+}*Technical Notes*{+}:
 *  none",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Output:
- Approved UI Design
- Design Pages for all visual components
- All components defined in High level overview are created. Tested with unit and functional tests",,,,,,,,,,,,,SSWGUI-138,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09ajr:7r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Touch Controls ,SSWGUI-259,101645,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,13/May/26 1:48 PM,10/Sep/26 3:43 PM,18/Sep/26 3:22 PM,,,,ESTAP GUI 1.0.0-rc,FST,,,,,EST,,,,0,"As an operator,

I need to be able to operate the Tray in Automatic Mode via the touchscreen,

so I can perform all actions during a mission.

{*}+Description+{*}:
 *  The operator shall be able to operate the Tray in Automatic mode via the touchscreen. All modifications added to the monitor screen that have commands must be controllable through the touchscreen. 

{+}*Acceptance Criteria*{+}:

GIVEN the associated statuses/display is on the monitor screen,

WHEN the operator uses the touchscreen,

THEN the operator will be able to control the system with the touchscreen.

{+}*UI/UX Notes*{+}:
 *  Ensure the layout of the buttons match the current specification

{+}*Technical Notes*{+}:
 *  none",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Output:
- Approved UI Design
- Design Pages for all visual components
- All components defined in High level overview are created. Tested with unit and functional tests",,,,,,,,,,,,,SSWGUI-138,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09ajr:74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Touch Controls,SSWGUI-258,101644,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,13/May/26 1:48 PM,10/Sep/26 3:43 PM,18/Sep/26 3:22 PM,,,,ESTAP GUI 1.0.0-rc,FST,,,,,EST,,,,0,"As an operator,

I need to be able control newly designed and implemented features,

so I can be control the system during operations.

{*}+Description+{*}:
 *  The operator shall have control of the Tray in servo-sub mode via the touchscreen. Add all modifications to the touchscreen. 

{+}*Acceptance Criteria*{+}:

GIVEN the operator is in Servo Sub-mode for the Tray,

WHEN the operator needs to move the Tray or modify the system in some way,

THEN the operator will be able to control the tray with the touchscreen.

{+}*UI/UX Notes*{+}:
 *  Ensure the implemented touch screen follows the design
* Speak with systems regularly on design decisions

{+}*Technical Notes*{+}:
 *  none ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Output:
- Approved UI Design
- Design Pages for all visual components
- All components defined in High level overview are created. Tested with unit and functional tests",,,,,,,,,,,,,SSWGUI-139,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09ajr:5o",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,05/May/27 12:00 AM,27/Jan/27 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Monitor Screen,SSWGUI-257,101643,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,13/May/26 1:48 PM,10/Sep/26 3:43 PM,18/Sep/26 3:22 PM,,,,ESTAP GUI 1.0.0-rc,FST,,,,,EST,,,,0,"As an operator,

I need to be able to have operational awareness of the Tray in Servo sub-mode via monitor mode,

so I can be informed of the status of the system during operations.

{*}+Description+{*}:
 *  The operator shall have awareness of the Tray in servo-sub mode via monitor mode on the display. Add all modifications from prior tasking to the monitor screen. 

{+}*Acceptance Criteria*{+}:

GIVEN the operator is in Servo Sub-mode for the Tray,

WHEN the operator needs to monitor the system ,

THEN the operator will be able to monitor the Tray with the display.

{+}*UI/UX Notes*{+}:
 *  Ensure the layout of the buttons match the current specification

{+}*Technical Notes*{+}:
 *  none",,kbassi,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Output:
- Approved UI Design
- Design Pages for all visual components
- All components defined in High level overview are created. Tested with unit and functional tests",,,,,,,,,,,,,SSWGUI-139,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09ajr:69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,27/Feb/27 12:00 AM,30/Nov/26 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Health Widgets,SSWGUI-255,101580,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,13/May/26 8:48 AM,10/Sep/26 4:12 PM,18/Sep/26 3:22 PM,,,,FST,,,,,,Health,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,SSWSYS-3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-8,,Health Widgets,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,SSWGUI-397,,,,,,,,,,,,,,"1|i09itn:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,04/Dec/27 12:00 AM,22/Aug/27 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
